Name,Party,State,Address,Phone Number,Web Page,Contact Link
"Akaka, Daniel K.",D,HI,141 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-6361,http://akaka.senate.gov,http://akaka.senate.gov/email-senator-akaka.cfm
"Alexander, Lamar",R,TN,455 DIRKSEN SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-4944,http://alexander.senate.gov/,http://alexander.senate.gov/public/index.cfm?p=Email
"Ayotte, Kelly",R,NH,188 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-3324,http://ayotte.senate.gov ,http://ayotte.senate.gov/contact_form.cfm
